Size 889 
 1.9451873e-04 1.5084540e-04 1.7135999e-04
 3.0117955e-04 4.9051119e-04 3.0068167e-04
 1.0846906e-04 1.2903612e-04 3.4114602e-04
 4.1684026e-04 1.9452017e-04 2.1081123e-04
 2.3258150e-04 4.8987477e-04 2.0109494e-04
 2.3092901e-04 1.5936100e-04 3.3513548e-04
 1.0396218e-04 1.5268871e-04 2.3740748e-04
 1.1296189e-04 3.6825517e-04 4.5810079e-04
 3.4685007e-04 2.4204839e-04 1.9630402e-04
 1.3438900e-04 3.8338809e-04 4.5220417e-04
 1.0371465e-04 2.3612186e-04 3.6589803e-04
 9.5898385e-05 1.3633263e-04 4.7962893e-04
 1.0673578e-04 1.9731505e-04 3.7500124e-04
 2.1266501e-04 4.2142056e-04 4.0093233e-04
 3.9096386e-04 4.0223175e-04 1.8849616e-04
 3.6140093e-04 1.4173161e-04 9.6290052e-05
 3.4103039e-04 3.4748761e-04 1.6934303e-04
 3.5872761e-04 9.5261858e-05 3.6306577e-04
 4.8734074e-04 2.1415360e-04 4.1892441e-04
 2.4453726e-04 3.4842103e-04 1.3574866e-04
 2.8084565e-04 2.1591369e-04 4.0215393e-04
 3.3557513e-04 3.6124168e-04 1.9128482e-04
 2.1921296e-04 4.0323307e-04 1.9004005e-04
 1.4823346e-04 9.7124787e-05 1.5192657e-04
 3.6310092e-04 3.3098984e-04 1.0485554e-04
 3.3470678e-04 2.1743845e-04 4.1670506e-04
 3.4890928e-04 5.0058620e-04 4.6433085e-04
 2.4108497e-04 2.1930138e-04 2.9083527e-04
 3.5172409e-04 3.8794849e-04 1.4321154e-04
 2.8261276e-04 1.1476214e-04 4.1930217e-04
 4.2824217e-04 3.0458153e-04 2.0479724e-04
 4.1508078e-04 3.4906506e-04 9.5323371e-05
 2.3826536e-04 1.8704914e-04 2.2389859e-04
 1.0762181e-04 3.9767917e-04 4.2006201e-04
 3.4964078e-04 4.7351918e-04 4.0268622e-04
 2.4112674e-04 4.2058624e-04 4.7021343e-04
 5.0446706e-04 3.6283111e-04 9.6550380e-05
 2.4151293e-04 9.5705244e-05 2.9498287e-04
 2.8908720e-04 3.4958119e-04 1.0182142e-04
 9.6621496e-05 3.9802861e-04 3.8062201e-04
 3.6876116e-04 4.0320422e-04 3.6379082e-04
 3.6236601e-04 4.1434489e-04 2.3082262e-04
 3.5267222e-04 2.8333686e-04 1.3705766e-04
 4.2330618e-04 9.6822201e-05 1.0794206e-04
 2.0402113e-04 1.3797847e-04 3.9592047e-04
 3.1618498e-04 2.6334945e-04 1.9719772e-04
 1.2313743e-04 9.8339174e-05 2.4355540e-04
 1.0285858e-04 4.0209638e-04 1.4673918e-04
 1.6184371e-04
